time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-28T01:23:22.580Z,35.3195,-117.6514969,8.57,2.54,ml,49,38,0.03647,0.22,ci,ci37217960,2014-04-28T01:26:16.655Z,"33km S of Ridgecrest, California",earthquake
2014-04-28T00:43:51.690Z,19.7126,120.0387,10,5.6,mwp,,52,2.185,1.06,us,usb000q1s6,2014-04-28T01:09:13.000Z,"147km NNW of Burgos, Philippines",earthquake
2014-04-28T00:09:37.600Z,-19.9309,-70.9364,16.22,4.9,mb,,133,0.834,0.66,us,usb000q1rb,2014-04-28T00:29:36.385Z,"88km WNW of Iquique, Chile",earthquake
2014-04-27T22:32:26.500Z,18.2315,-64.4115,132,3.1,Md,12,259.2,0.26679964,0.15,pr,pr14117007,2014-04-28T00:14:10.400Z,"29km SE of Road Town, British Virgin Islands",earthquake
2014-04-27T22:09:17.640Z,-0.2246,122.6012,33.56,4.7,mb,,56,0.829,0.89,us,usb000q1mn,2014-04-27T22:26:08.388Z,"83km NNW of Luwuk, Indonesia",earthquake
2014-04-27T21:35:34.000Z,52.7766,-169.9829,60.9,3.7,ml,20,187.199985024001,0.7069741,0.75,ak,ak11244576,2014-04-28T01:24:33.967Z,"50km ENE of Yunaska Island, Alaska",earthquake
2014-04-27T21:10:58.000Z,59.9009,-153.0889,100,2.8,ml,29,172.799986176001,,0.66,ak,ak11244569,2014-04-27T21:23:18.557Z,"67km SSW of Redoubt Volcano, Alaska",earthquake
2014-04-27T20:28:42.500Z,37.6413,-118.9555,7.7,2.6,Md,,50.4,0.02694946,0.06,nc,nc72206765,2014-04-28T00:01:08.857Z,"1km ESE of Mammoth Lakes, California",earthquake
2014-04-27T18:10:47.760Z,-7.0778,154.8013,77.63,4.7,mb,,75,3.887,0.73,us,usb000q1fb,2014-04-27T20:25:28.079Z,"113km SW of Panguna, Papua New Guinea",earthquake
2014-04-27T16:46:57.100Z,35.9984,-97.2213,7.53,2.8,mb_lg,,59,0.276,0.38,us,usb000q1dj,2014-04-28T00:49:27.232Z,"6km NNE of Langston, Oklahoma",earthquake
2014-04-27T16:23:06.020Z,-6.2043,131.2621,81.49,5.2,mb,,37,1.767,0.84,us,usb000q1cz,2014-04-28T00:25:36.473Z,"175km WSW of Tual, Indonesia",earthquake
2014-04-27T16:16:18.000Z,61.398,-146.8539,28.2,2.8,ml,64,165.599986752001,,0.73,ak,ak11244404,2014-04-28T00:18:55.498Z,"40km NW of Valdez, Alaska",earthquake
2014-04-27T15:13:54.920Z,54.8714,111.3083,10,5.1,mb,,33,5.599,0.61,us,usb000q1c1,2014-04-27T23:16:36.783Z,"91km NE of Kurumkan, Russia",earthquake
2014-04-27T14:45:58.030Z,-20.1386,-70.9766,17.6,4.1,mb,,209,0.967,0.49,us,usb000q1bj,2014-04-27T23:04:19.000Z,"87km W of Iquique, Chile",earthquake
